time-local,maximum_air_temperature,wind_spd_kmh,wind_spd_kmh,wind_dir,rel-humidity,rainfall
2018-01-02T06:50:00+11:00,14,4,4,W,80,0
2018-01-02T07:00:00+11:00,14.2,4,4,W,79,0
2018-01-02T07:10:00+11:00,14.9,4,4,W,77,0
2018-01-02T07:20:00+11:00,15.4,4,4,W,74,0
2018-01-02T07:30:00+11:00,15.8,4,4,W,73,0
2018-01-02T07:40:00+11:00,15.8,0,0,CALM,72,0
2018-01-02T07:50:00+11:00,16.3,2,2,WSW,72,0
2018-01-02T08:00:00+11:00,17.1,4,4,W,69,0
2018-01-02T08:10:00+11:00,17.7,4,4,W,62,0
2018-01-02T08:20:00+11:00,17.7,6,6,WSW,59,0
2018-01-02T08:30:00+11:00,17.7,6,6,WSW,61,0
2018-01-02T08:40:00+11:00,17.7,7,7,WSW,57,0
2018-01-02T08:50:00+11:00,18.1,4,4,WSW,58,0
2018-01-02T09:00:00+11:00,19.2,4,4,SW,55,0
2018-01-02T09:10:00+11:00,19.2,9,9,SSW,51,0
2018-01-02T09:20:00+11:00,19.2,7,7,SW,52,0
2018-01-02T09:30:00+11:00,19.2,11,11,SW,50,0
2018-01-02T09:40:00+11:00,19.2,13,13,SW,51,0
2018-01-02T09:50:00+11:00,19.2,13,13,S,50,0
2018-01-02T10:00:00+11:00,19.3,13,13,S,48,0
2018-01-02T10:10:00+11:00,19.5,15,15,S,47,0
2018-01-02T10:20:00+11:00,19.8,11,11,SSW,48,0
2018-01-02T10:30:00+11:00,19.9,17,17,S,46,0
2018-01-02T10:40:00+11:00,20.3,13,13,SSW,45,0
2018-01-02T10:50:00+11:00,20.7,13,13,S,47,0
2018-01-02T11:00:00+11:00,20.7,13,13,SSW,49,0
2018-01-02T11:10:00+11:00,20.7,17,17,SSE,48,0
2018-01-02T11:20:00+11:00,20.7,13,13,SSE,51,0
2018-01-02T11:30:00+11:00,20.7,13,13,S,52,0
2018-01-02T11:40:00+11:00,20.7,15,15,SSW,51,0
2018-01-02T11:50:00+11:00,20.8,17,17,S,54,0
2018-01-02T12:00:00+11:00,20.8,17,17,SSW,57,0
2018-01-02T12:10:00+11:00,20.8,11,11,SSW,57,0
2018-01-02T12:20:00+11:00,20.8,17,17,SSW,58,0
2018-01-02T12:30:00+11:00,20.8,15,15,SSW,62,0
2018-01-02T12:40:00+11:00,20.8,22,22,S,63,0
2018-01-02T12:50:00+11:00,20.8,13,13,SSW,63,0
2018-01-02T13:00:00+11:00,20.8,17,17,S,61,0
2018-01-02T13:10:00+11:00,20.8,17,17,SW,58,0
2018-01-02T13:20:00+11:00,20.8,19,19,SSW,59,0
2018-01-02T13:30:00+11:00,20.8,19,19,SSW,60,0
2018-01-02T13:40:00+11:00,20.8,22,22,S,59,0
2018-01-02T13:50:00+11:00,20.8,20,20,S,59,0
2018-01-02T14:00:00+11:00,20.8,20,20,SSW,59,0
2018-01-02T14:10:00+11:00,20.8,20,20,SSW,62,0
2018-01-02T14:20:00+11:00,20.8,19,19,SSW,71,0
2018-01-02T14:30:00+11:00,20.8,22,22,SSW,71,0
2018-01-02T14:40:00+11:00,20.8,26,26,SSW,70,0
2018-01-02T14:50:00+11:00,20.8,22,22,SSW,69,0
2018-01-02T15:00:00+11:00,20.8,24,24,SSW,66,0
2018-01-02T15:10:00+11:00,20.8,19,19,SSW,61,0
2018-01-02T15:20:00+11:00,20.8,22,22,SSW,58,0
2018-01-02T15:30:00+11:00,20.8,24,24,SSW,60,0
2018-01-02T15:40:00+11:00,20.8,22,22,SSW,61,0
2018-01-02T15:50:00+11:00,20.8,24,24,SSW,59,0
2018-01-02T16:00:00+11:00,20.8,22,22,SSW,61,0
2018-01-02T16:10:00+11:00,20.8,26,26,SSW,60,0
2018-01-02T16:20:00+11:00,20.8,20,20,SW,63,0
2018-01-02T16:30:00+11:00,20.8,20,20,SSW,59,0
2018-01-02T16:40:00+11:00,20.8,24,24,SW,58,0
2018-01-02T16:50:00+11:00,20.8,22,22,SSW,58,0
2018-01-02T17:00:00+11:00,20.8,22,22,SW,58,0
2018-01-02T17:10:00+11:00,20.8,24,24,SW,59,0
2018-01-02T17:20:00+11:00,20.8,24,24,SW,60,0
2018-01-02T17:30:00+11:00,20.8,22,22,SSW,59,0
2018-01-02T17:40:00+11:00,20.8,24,24,SSW,58,0
2018-01-02T17:50:00+11:00,20.8,22,22,SSW,59,0
2018-01-02T18:00:00+11:00,20.8,20,20,SSW,60,0
2018-01-02T18:10:00+11:00,20.8,26,26,SSW,58,0
2018-01-02T18:20:00+11:00,20.8,20,20,SW,62,0
2018-01-02T18:30:00+11:00,20.8,20,20,SW,63,0
2018-01-02T18:40:00+11:00,20.8,20,20,SW,62,0
2018-01-02T18:50:00+11:00,20.8,17,17,SW,64,0
2018-01-02T19:00:00+11:00,20.8,24,24,SW,62,0
2018-01-02T19:10:00+11:00,20.8,20,20,SW,62,0
2018-01-02T19:20:00+11:00,20.8,26,26,SW,60,0
2018-01-02T19:30:00+11:00,20.8,24,24,SSW,61,0
2018-01-02T19:40:00+11:00,20.8,24,24,SW,64,0
2018-01-02T19:50:00+11:00,20.8,19,19,SW,66,0
2018-01-02T20:00:00+11:00,20.8,24,24,SW,69,0
2018-01-02T20:10:00+11:00,20.8,20,20,SW,71,0
2018-01-02T20:20:00+11:00,20.8,20,20,SW,70,0
2018-01-02T20:30:00+11:00,20.8,19,19,SW,69,0
2018-01-02T20:40:00+11:00,20.8,22,22,SW,71,0
2018-01-02T20:50:00+11:00,20.8,24,24,SW,69,0
2018-01-02T21:00:00+11:00,20.8,24,24,SW,68,0
2018-01-02T21:10:00+11:00,20.8,26,26,SW,69,0
2018-01-02T21:20:00+11:00,20.8,20,20,SW,70,0
2018-01-02T21:30:00+11:00,20.8,19,19,SW,71,0
2018-01-02T21:40:00+11:00,20.8,17,17,WSW,70,0